ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
543611,324092371,,327.2700,8.4900,8,2006-11-22 12:35:42, 
543628,35603-1526,,5120.2500,384.9900,38,2018-07-11 13:25:44.363000, 
543652,35806-1949,,3222.6300,250.4300,26,2016-07-01 10:17:49.500000,Catalog
543673,35147,,516.8400,18.6500,8,2020-02-19 15:33:53, 
543735,352133625,,3298.0440,306.0500,24,2016-03-26 15:12:32, 
543782,36066,,3739.1056,141.8744,51,2018-08-23 14:35:05,Catalog
543788,36066,,3314.7200,221.4600,25,2012-10-06 13:02:54, 
543792,350804108,,353.3200,12.1600,21,2019-07-23 16:41:17, 
543794,35210,,4491.1500,466.5900,14,2009-10-23 11:05:37, 
543806,35173,,148.4100,31.0000,7,2016-12-20 15:53:23,Friend
543807,35242,,616.2800,51.0100,10,2009-11-08 16:17:37, 
543836,35006,,1538.8500,90.2078,12,2009-12-12 08:37:33, 
543843,35133,,2400.9100,170.9100,36,2009-12-18 11:10:37,Catalog
543844,35146,,3316.3910,150.1100,40,2020-01-19 12:27:16, 
543867,35014-6006,,2000.5600,365.6700,34,2014-06-14 11:18:16.223000,
543886,35242,,240.9100,17.6500,10,2019-06-14 16:50:11,
543895,35242,,392.0200,44.9700,15,2010-06-29 15:45:33, 
543900,35242,,339.0500,0.0000,7,2015-01-12 14:25:21,Friend
543921,35953,,1392.7240,308.1600,8,2010-06-19 13:22:24,
543952,35115,,149.4300,0.0000,7,2019-02-27 09:58:19,Friend
544015,352224108,,5663.5702,341.7900,70,2012-01-27 11:46:58,Friend
544026,35124,,194.5000,4.6000,7,2016-09-29 11:52:11,
544027,35080,,3761.6772,83.5500,42,2010-11-12 15:28:56,Friend
544028,352424142,,15469.4300,623.8100,194,2020-03-05 11:41:37.237000,Catalog
544063,35062,,654.2900,13.4700,19,2015-08-06 15:55:31, 
544095,351731807,,1700.5000,213.9000,16,2018-08-20 10:52:49, 
544102,35126,,1114.4455,21.4100,40,2019-03-14 13:09:27, 
544115,35188,,2260.6254,192.8600,25,2019-10-22 13:54:04, 
544116,35055,,1642.3700,25.2400,16,2011-07-20 10:19:40, 
544119,35127,,1004.8300,213.2600,11,2014-03-02 13:10:42, 
544211,35594,,193.1300,0.0000,7,2008-10-11 09:49:15,Friend
544224,359015546,,2983.6800,196.7500,24,2017-05-27 10:28:19, 
544228,36117,,7658.5965,469.9750,56,2020-03-15 14:01:12,Friend
544229,35763,,2644.9200,102.3100,10,2013-03-09 13:11:09, 
544301,350353527,,2710.7400,200.1900,33,2016-02-05 09:35:24, 
544318,35044,,660.5000,33.5900,15,2013-11-01 10:38:46, 
544322,35242-6422,,1489.3700,220.0000,12,2011-09-08 14:24:42,
544374,35244,,5223.8900,717.9500,46,2011-11-14 16:21:49,Friend
544382,35151,,846.6767,159.6180,17,2020-03-09 13:57:21,
544396,35150,,1474.0220,155.6900,38,2018-12-04 11:57:26,Catalog
544442,35128,,476.9800,0.0000,16,2012-05-02 10:55:56, 
544458,35209,,665.1700,34.1700,11,2017-10-13 13:21:26, 
544477,35226,,764.2800,69.6400,8,2019-03-04 10:07:17, 
544484,35022,,3028.4800,141.3000,61,2019-05-16 12:14:51,Brochure
544500,36748-4448,,1047.7000,193.7400,18,2020-01-18 12:43:02.160000,Friend
544528,35404,,2622.8100,613.4900,16,2016-12-09 14:49:12.513000, 
544530,35080,,349.1100,58.2500,8,2015-08-31 15:01:41, 
544574,35004,,254.9700,24.5000,6,2018-08-15 09:42:19,
544606,35022,,2238.6325,1687.7558,89,2020-01-12 13:02:50, 
544624,36078,,1885.9599,74.2200,14,2017-03-09 10:43:07, 
544675,35475-3604,,414.7200,3.8500,10,2014-10-03 15:14:01.957000, 
544713,35473,,3958.5210,226.9600,29,2014-06-20 10:51:09, 
544721,35242,,396.3400,8.6100,16,2015-05-22 15:01:45.253000,Sign/Drive By
544732,48653-7900,,127.8200,3.0000,10,2009-03-13 12:05:34.337000,Sign/Drive By
544733,34638-7982,,623.8000,148.0000,10,2009-01-17 17:04:00,
544737,35242-6433,,7226.7100,361.7300,37,2018-08-21 10:36:27.217000,
544742,287307736,,1220.2500,3.9400,12,2010-03-16 14:29:10.053000, 
544744,36064,,2074.5600,140.2800,16,2010-05-25 12:32:22.610000, 
544748,35056,,9711.4685,791.4490,18,2012-11-27 14:05:45,Catalog
544757,36853-6401,,206.8800,10.0000,6,2008-01-08 10:42:00,
544760,35805-4935,,2081.5599,155.2900,23,2008-04-02 11:34:27,Internet
544761,35603-4012,,2832.5350,60.2600,18,2009-11-14 17:24:56.880000,Friend
544783,35763-8528,,1010.8200,39.4200,14,2007-11-01 12:39:00,
544787,54426-9341,,638.7600,15.0000,12,2008-08-21 19:31:00,
544791,35226-1422,,3402.6300,990.7860,36,2014-03-29 15:26:58.030000,
544801,35244-8205,,4120.3000,190.0000,30,2007-12-14 11:09:29,
544826,46816,,2300.7700,330.8900,25,2020-08-11 12:09:31.267000,
544827,48315-2809,,66.9400,0.0200,6,2004-12-14 11:08:01,
544840,33804,,8514.5200,44.6000,38,2020-04-13 13:24:37,
544866,35244-8259,,1621.4000,138.0000,16,2010-11-03 10:30:54.513000,
544868,39701-9047,,428.8600,0.0000,8,2009-11-14 11:09:22,Friend
544872,32506-5978,,658.6600,0.0000,6,2010-12-24 12:00:41.180000,Sign/Drive By
544882,39759-8239,,2235.8700,228.1700,12,2011-07-28 11:37:23.550000,
544891,37330-4317,,4628.3900,50.0600,23,2018-11-10 17:48:01.180000,Friend
544899,1,,1304.1410,10.0301,34,2012-06-28 08:55:20,
544901,35763-8657,,1013.4000,56.0000,36,2011-08-02 11:00:58.987000,
544905,26104,,208.1800,376.4600,2170,2011-08-26 14:43:09.370000,
544906,32331-3865,,4207.4800,1.0200,32,2011-06-30 10:31:48.640000,
544909,40517-3590,,178.8600,0.0000,8,2011-07-10 17:31:07.030000,
544916,35806-1272,,223.6600,0.0000,10,2011-10-08 15:20:50.340000,
544921,362030680,,350.5800,16.7800,8,2011-03-30 14:19:03,
544922,34221-8449,,3705.6600,1957846.1400,28,2012-03-02 10:04:10.787000,
544930,80541-0144,,1238.7600,3.0200,12,2013-01-03 20:01:07.083000,Catalog
544938,34685-1639,,404.5000,0.0000,8,2012-02-21 11:17:50.850000,
544944,37343,,13231.4300,880.0000,26,2012-05-23 16:06:22.073000,Friend
544945,35226,,904.9000,0.0000,14,2012-05-26 10:14:33.603000,
544950,39074,,2772.8880,56.2400,14,2017-12-29 10:01:37, 
544952,37036,,462.3800,109.8400,10,2012-04-27 15:55:18.467000,
544962,40977-8313,,1105.4100,32.2700,22,2012-12-07 11:48:40,
